sgemm	2	11059200	24c84a50	137.186776000
sgemm	1	11059200	24c84a50	186.173498000
sgemm	6	11059200	24c84a50	685.524638000
sgemm	4	11059200	24c84a50	372.657124000
sgemm	2	11059200	24c84a50	185.973953000
sgemm	0	11059200	24c84a50	185.967427000
sgemm	3	11059200	24c84a50	257.395764000
sgemm	6	11059200	24c84a50	169.901772000
sgemm	5	11059200	24c84a50	435.841048000
sgemm	4	11059200	24c84a50	185.638799000
sgemm	1	11059200	24c84a50	261.649589000
sgemm	3	11059200	24c84a50	157.310088000
sgemm	2	11059200	24c84a50	213.493706000
sgemm	3	11059200	24c84a50	90.843803000
sgemm	0	11059200	24c84a50	248.506047000
sgemm	1	11059200	24c84a50	198.779399000
sgemm	6	11059200	24c84a50	275.817880000
sgemm	0	11059200	24c84a50	107.621573000
sgemm	2	11059200	24c84a50	192.344267000
sgemm	3	11059200	24c84a50	157.646528000
sgemm	6	11059200	24c84a50	49.705342000
sgemm	4	11059200	24c84a50	301.581992000
sgemm	0	11059200	24c84a50	102.768122000
sgemm	3	11059200	24c84a50	131.343420000
strsm	6	7372800	ff82dda0	131.322076000
sgemm	1	11059200	24c84a50	182.021049000
sgemm	3	11059200	24c84a50	70.038655000
sgemm	4	11059200	24c84a50	176.721665000
ssyrk	6	7372800	ff82dda0	98.328503000
sgemm	5	11059200	24c84a50	555.345541000
sgemm	0	11059200	24c84a50	222.741072000
sgemm	1	11059200	24c84a50	143.481695000
sgemm	0	11059200	24c84a50	51.146394000
sgemm	2	11059200	24c84a50	327.008687000
sgemm	5	11059200	24c84a50	187.666219000
sgemm	6	11059200	24c84a50	189.523496000
strsm	0	7372800	ff82dda0	92.326889000
sgemm	3	11059200	24c84a50	217.923386000
sgemm	2	11059200	24c84a50	148.761888000
sgemm	4	11059200	24c84a50	306.874433000
ssyrk	0	7372800	ff82dda0	117.452450000
sgemm	2	11059200	24c84a50	61.102234000
sgemm	5	11059200	24c84a50	183.968817000
sgemm	6	11059200	24c84a50	186.140640000
sgemm	4	11059200	24c84a50	100.504561000
sgemm	4	11059200	24c84a50	96.138398000
sgemm	2	11059200	24c84a50	196.532810000
sgemm	5	11059200	24c84a50	133.989481000
sgemm	0	11059200	24c84a50	221.863392000
sgemm	2	11059200	24c84a50	75.884155000
sgemm	4	11059200	24c84a50	75.950807000
sgemm	1	11059200	24c84a50	623.958901000
sgemm	5	11059200	24c84a50	165.461280000
sgemm	4	11059200	24c84a50	91.591258000
sgemm	0	11059200	24c84a50	142.192129000
sgemm	4	11059200	24c84a50	20.789377000
sgemm	5	11059200	24c84a50	45.386744000
sgemm	6	11059200	24c84a50	459.741976000
sgemm	3	11059200	24c84a50	645.891570000
sgemm	4	11059200	24c84a50	143.453499000
sgemm	0	11059200	24c84a50	164.253254000
sgemm	6	11059200	24c84a50	37.459494000
sgemm	5	11059200	24c84a50	156.348277000
sgemm	2	11059200	24c84a50	293.385272000
sgemm	1	11059200	24c84a50	202.955677000
sgemm	0	11059200	24c84a50	60.709650000
sgemm	3	11059200	24c84a50	121.778611000
sgemm	2	11059200	24c84a50	84.295383000
sgemm	1	11059200	24c84a50	85.045081000
sgemm	0	11059200	24c84a50	127.307839000
sgemm	6	11059200	24c84a50	150.369934000
sgemm	3	11059200	24c84a50	66.230868000
sgemm	2	11059200	24c84a50	89.940677000
sgemm	3	11059200	24c84a50	78.808915000
sgemm	1	11059200	24c84a50	145.604778000
sgemm	0	11059200	24c84a50	103.109123000
sgemm	2	11059200	24c84a50	197.932369000
sgemm	1	11059200	24c84a50	141.516911000
sgemm	6	11059200	24c84a50	221.656416000
sgemm	5	11059200	24c84a50	372.258259000
sgemm	4	11059200	24c84a50	448.036906000
sgemm	1	11059200	24c84a50	60.683343000
sgemm	2	11059200	24c84a50	86.255336000
sgemm	4	11059200	24c84a50	72.902552000
sgemm	3	11059200	24c84a50	276.939193000
sgemm	2	11059200	24c84a50	92.863349000
strsm	1	7372800	ff82dda0	118.452148000
sgemm	3	11059200	24c84a50	93.916299000
sgemm	5	11059200	24c84a50	228.044852000
sgemm	0	11059200	24c84a50	469.775779000
sgemm	2	11059200	24c84a50	172.058479000
sgemm	3	11059200	24c84a50	123.145799000
sgemm	6	11059200	24c84a50	351.275961000
sgemm	4	11059200	24c84a50	346.713629000
